55,Noel Acciari\acciano01,C,29,5-10,203,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478569.jpg
16,Aleksander Barkov\barkoal01,C,25,6-3,213,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477493.jpg
9,Sam Bennett\bennesa01,C,24,6-1,195,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477935.jpg
72,Sergei Bobrovsky\bobrose01,G,32,6-2,187,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475683.jpg
44,Kevin Connauton\connake01,D,30,6-2,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475246.jpg
14,Grigori Denisenko\denisgr01,LW,20,5-11,176,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480844.jpg
91,Anthony Duclair\duclaan01,LW,25,5-11,197,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477407.jpg
5,Aaron Ekblad\ekblaaa01,D,24,6-4,215,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477932.jpg
42,Gustav Forsling\forslgu02,D,24,6-0,186,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478055.jpg
7,Radko Gudas\gudasra01,D,30,6-0,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475462.jpg
