62,Nicolas Aube-Kubel\aubekni01,RW,24,5-11,187,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477979.jpg
61,Justin Braun\braunju01,D,33,6-2,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474027.jpg
14,Sean Couturier\coutuse01,C,28,6-3,211,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476461.jpg
86,Joel Farabee\farabjo01,LW,20,6-0,164,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480797.jpg
48,Morgan Frost\frostmo01,C,21,5-11,173,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480028.jpg
28,Claude Giroux\giroucl01,C/LW,33,5-11,185,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8473512.jpg
13,Kevin Hayes\hayeske01,RW,28,6-5,216,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475763.jpg
11,Travis Konecny\konectr01,C,23,5-10,175,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478439.jpg
58,Tanner Laczynski\laczyta01,C,23,6-1,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479550.jpg
21,Scott Laughton\laughsc01,C,26,6-1,190,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476872.jpg
