78,T.J. Brodie\broditj01,D,30,6-1,185,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474673.jpg
36,Jack Campbell\campbja01,G,29,6-2,197,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475789.jpg
23,Travis Dermott\dermotr01,D,24,6-0,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478408.jpg
47,Pierre Engvall\engvapi01,LW,24,6-5,214,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478115.jpg
3,Justin Holl\hollju01,D,29,6-4,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8475718.jpg
30,Michael Hutchinson\hutchmi01,G,30,6-3,198,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474636.jpg
15,Alexander Kerfoot\kerfoal01,C,26,5-10,175,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477021.jpg
16,Mitch Marner\marnemi01,RW,23,6-0,175,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478483.jpg
34,Auston Matthews\matthau01,C,23,6-3,223,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479318.jpg
65,Ilya Mikheyev\mikheil01,F,26,6-2,194,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481624.jpg
