38-95,Justin Bailey\baileju01,RW,25,6-4,214,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477473.jpg
6,Brock Boeser\boesebr01,RW,23,6-1,208,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478444.jpg
35,Thatcher Demko\demkoth01,G,25,6-4,192,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477967.jpg
27,Travis Hamonic\hamontr01,D,30,6-2,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8474612.jpg
15-36,Matthew Highmore\highmma01,LW,24,5-11,188,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8478146.jpg
36,Nils Hoglander\hoglani01,LW,20,5-9,185,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8481535.jpg
53,Bo Horvat\horvabo01,C,25,6-0,215,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8477500.jpg
43,Quinn Hughes\hughequ01,D,21,5-10,175,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8480800.jpg
71,Zack MacEwen\macewza01,C,24,6-3,205,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8479772.jpg
9,J.T. Miller\millejt01,C,27,6-1,218,https://cms.nhl.bamgrid.com/images/headshots/current/60x60/8476468.jpg
